season,game_type,week,away_team,away_score,home_team,home_score,result,total,overtime,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,home_team_win,home_win_pct,home_ppg,home_opp_ppg,home_third_down_pct,home_third_down_stop_pct,home_sacks_per_game,home_turnover_diff,away_win_pct,away_ppg,away_opp_ppg,away_third_down_pct,away_third_down_stop_pct,away_sacks_per_game,away_turnover_diff
2019,REG,6,TEN,0,DEN,16,16,16,0,109,-121,1.0,103,-113,41.0,-102,-109,1,0.2,18.0,21.2,0.3484049284049284,0.6593650793650794,1.0,-0.8,0.4,19.6,15.2,0.26909789556848385,0.7375604787369493,3.4,1.6
2019,REG,6,SF,20,LA,7,-13,27,0,133,-148,3.0,-110,-100,49.5,-111,-100,0,0.6,29.2,26.8,0.34116541353383456,0.6236263736263735,2.2,-0.8,1.0,31.75,14.25,0.4163602941176471,0.707065960355434,3.25,0.25
2019,REG,6,ATL,33,ARI,34,1,67,0,-161,145,-3.0,-108,-102,52.5,101,-113,1,0.2,20.0,27.6,0.3698575082206796,0.6103496503496504,2.4,-0.6,0.2,20.4,30.4,0.3815999686587922,0.5004828504828505,1.0,-1.4
2019,REG,6,PHI,20,MIN,38,18,58,0,157,-176,3.5,-115,105,44.0,-110,-101,1,0.6,22.4,14.6,0.4072094572094572,0.709087156393658,3.0,0.0,0.6,28.2,22.2,0.4752567693744164,0.6629545454545454,2.6,0.8
2019,REG,6,SEA,32,CLE,28,-4,60,0,102,-113,1.0,-104,-106,45.5,-107,-104,0,0.4,18.4,24.4,0.23636363636363633,0.7214203117144293,3.2,-0.2,0.8,26.6,23.6,0.31722527472527473,0.7347985347985349,2.0,-0.2
2019,REG,6,NO,13,JAX,6,-7,19,0,126,-139,2.5,100,-110,42.5,-108,-103,0,0.4,22.2,23.6,0.30904761904761907,0.6297003649944827,3.2,-1.2,0.8,23.0,23.2,0.3983333333333333,0.667032967032967,3.2,0.6
2019,REG,6,WAS,17,MIA,16,-1,33,0,-240,210,-6.0,-101,-109,42.0,-105,-106,0,0.0,6.5,40.75,0.2417866447278212,0.46153846153846156,1.25,-1.25,0.0,14.6,30.2,0.20704545454545453,0.47202111613876313,1.8,-0.8
2019,REG,6,NYG,14,NE,35,21,49,0,756,-1071,16.5,-106,-104,43.0,-113,102,1,1.0,31.0,6.8,0.38496732026143793,0.8956140350877193,4.8,1.8,0.4,19.4,25.0,0.34343130553656864,0.6542424242424243,2.6,-1.0
2019,REG,6,CAR,37,TB,26,-11,63,0,-125,113,-2.0,-100,-110,48.5,-104,-107,0,0.4,29.4,29.6,0.3264102564102564,0.6561904761904762,2.2,0.8,0.6,25.8,21.4,0.3535606060606061,0.6380362671384343,4.0,0.0
2019,REG,7,KC,30,DEN,6,-24,36,0,-149,134,-3.0,104,-115,49.5,-111,100,0,0.3333333333333333,17.666666666666668,17.666666666666668,0.31255966255966255,0.6976190476190475,2.0,-0.3333333333333333,0.6666666666666666,28.666666666666668,24.0,0.3827055011265538,0.6097756410256411,1.8333333333333333,0.5
2019,REG,7,LA,37,ATL,10,-27,47,0,-154,139,-3.0,-105,-105,54.5,-107,-104,0,0.16666666666666666,22.5,31.0,0.3949230508054038,0.5059579309579308,0.8333333333333334,-1.1666666666666667,0.5,25.5,25.666666666666668,0.2843045112781955,0.61617987275882,2.1666666666666665,-0.5
2019,REG,7,MIA,21,BUF,31,10,52,0,793,-1137,17.0,-103,-108,42.5,-100,-111,1,0.8,18.0,14.0,0.312694323220639,0.7221755368814192,2.4,-0.6,0.0,8.4,36.0,0.22872343342931578,0.535897435897436,1.0,-1.4
2019,REG,7,JAX,27,CIN,17,-10,44,0,-214,189,-4.0,-116,105,44.5,100,-111,0,0.0,16.166666666666668,26.5,0.3442404087140929,0.5842109279609279,1.1666666666666667,-0.5,0.3333333333333333,19.5,21.833333333333332,0.2992063492063492,0.6273144067261714,3.1666666666666665,-1.1666666666666667
2019,REG,7,MIN,42,DET,30,-12,72,0,-137,124,-2.5,-110,-100,43.5,102,-114,0,0.6,23.8,23.6,0.3271503496503496,0.6114496813218041,2.0,1.0,0.6666666666666666,25.0,15.5,0.36964424464424467,0.706290579045997,2.8333333333333335,0.16666666666666666
2019,REG,7,OAK,24,GB,42,18,66,0,211,-241,5.5,-103,-107,48.0,101,-113,1,0.8333333333333334,23.666666666666668,19.166666666666668,0.27542989417989416,0.6649080358639182,3.0,1.0,0.6,20.6,24.6,,,,0.0
2019,REG,7,HOU,23,IND,30,7,53,0,109,-120,1.5,-104,-106,46.5,100,-111,1,0.6,22.6,23.0,0.4025452488687783,0.6184981684981685,2.6,-0.4,0.6666666666666666,27.0,22.333333333333332,0.4632635746606335,0.5988562091503269,2.6666666666666665,0.5
2019,REG,7,ARI,27,NYG,21,-6,48,0,168,-188,3.5,-106,-104,49.5,-101,-110,0,0.3333333333333333,18.5,26.666666666666668,0.31649578491683755,0.63494560994561,2.6666666666666665,-1.1666666666666667,0.3333333333333333,22.333333333333332,28.5,0.38599236796167746,0.5983682983682984,2.3333333333333335,-0.5
2019,REG,7,SF,9,WAS,0,-9,9,0,-424,350,-10.0,-104,-106,39.0,-100,-111,0,0.16666666666666666,15.0,27.833333333333332,0.20031565656565656,0.5306058320764202,2.3333333333333335,-0.3333333333333333,1.0,29.4,12.8,0.41729876160990714,0.7656527682843473,3.4,0.0
2019,REG,7,LAC,20,TEN,23,3,43,0,141,-157,3.0,-107,-103,42.5,-105,-106,1,0.3333333333333333,16.333333333333332,15.333333333333334,0.24276676482558837,0.7590781767252356,3.0,1.0,0.3333333333333333,20.0,19.666666666666668,0.45442253824606765,0.5581973581973582,2.0,-0.3333333333333333
2019,REG,7,NO,36,CHI,25,-11,61,0,188,-213,4.0,100,-110,37.0,-101,-111,0,0.6,17.4,13.8,0.3338612368024133,0.7102897102897102,3.4,1.2,0.8333333333333334,21.333333333333332,20.333333333333332,0.3960470085470085,0.6808608058608058,3.0,0.6666666666666666
